uid,title,types,sourceTypes,sourceTitle,publishYear,publishMonth,volume,issue,pagesrange,pagesbegin,pagesend,pagescount,articleNumber,authors,record,citingArticles,references,related,db,count,doi,issn,eissn,pmid,authorKeywords,authorsList
WOS:000987436500001,A 3-D groundwater isoscape of the contiguous USA for forensic and water resource science,Article,Article,Plos One,2022,Jan 7,17,1,NA,NA,NA,22,e0261651,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000987436500001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000987436500001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000987436500001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000987436500001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,18,10.1371/journal.pone.0261651,NA,1932-6203,34995313,,"Bowen, GJ; Guo, JS; Allen, ST"
WOS:000745663100007,Temperature memory and non-structural carbohydrates mediate legacies of a hot drought in trees across the southwestern USA,Article,Article,Tree Physiology,2022,Jan,42,1,71-85,71,85,15,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000745663100007&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000745663100007&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000745663100007&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000745663100007&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,36,10.1093/treephys/tpab091,0829-318X,1758-4469,34302167,,"Peltier, DMP; Guo, J; Nguyen, P; Bangs, M; Wilson, M; Samuels-Crow, K; Yocom, LL; Liu, Y; Fell, MK; Shaw, JD; Auty, D; Schwalm, C; Anderegg, WRL; Koch, GW; Litvak, ME; Ogle, K"
WOS:000802840700001,Temporal variation in stomatal sensitivity to vapour pressure deficit in western riparian forests,Article,Article,Functional Ecology,2022,Jul,36,7,1599-1611,1599,1611,13,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000802840700001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000802840700001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000802840700001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000802840700001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,14,10.1111/1365-2435.14066,0269-8463,1365-2435,NA,,"Guo, JS; Bush, SE; Hultine, KR"
WOS:000869555100001,Contemporary tree growth shows altered climate memory,Article,Article,Ecology Letters,2022,Dec,25,12,2663-2674,2663,2674,12,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000869555100001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000869555100001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000869555100001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000869555100001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,27,10.1111/ele.14130,1461-023X,1461-0248,36257775,,"Peltier, DMP; Anderegg, WRL; Guo, JS; Ogle, K"
WOS:000899800900001,Quantifying the drivers of ecosystem fluxes and water potential across the soil-plant-atmosphere continuum in an arid woodland,Article,Article,Agricultural And Forest Meteorology,2023,Feb 15,329,NA,NA,NA,NA,10,109269,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000899800900001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000899800900001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000899800900001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000899800900001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,38,10.1016/j.agrformet.2022.109269,0168-1923,1873-2240,NA,,"Kannenberg, SA; Barnes, ML; Bowling, DR; Driscoll, AW; Guo, JS; Anderegg, WRL"
WOS:000967652600001,The importance of monsoon precipitation for foundation tree species across the semiarid Southwestern US,Article,Article,Frontiers In Forests And Global Change,2023,Mar 30,6,NA,NA,NA,NA,15,1116786,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000967652600001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000967652600001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000967652600001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000967652600001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,5,10.3389/ffgc.2023.1116786,NA,2624-893X,NA,,"Samuels-Crow, KE; Peltier, DMP; Liu, Y; Guo, JS; Welker, JM; Anderegg, WRL; Koch, GW; Schwalm, C; Litvak, M; Shaw, JD; Ogle, K"
WOS:000973050800001,Pre-fire grazing and herbicide treatments can affect post-fire vegetation in a Great Basin rangeland,Article,Article,Ecological Solutions And Evidence,2023,Jan,4,1,NA,NA,NA,12,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000973050800001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000973050800001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000973050800001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:000973050800001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,6,10.1002/2688-8319.12215,NA,2688-8319,NA,,"Gornish, ES; Guo, JS; Porensky, LM; Perryman, BL; Leger, EA"
WOS:001086149400001,Use of Biological Feedback as a Health Behavior Change Technique in Adults: Scoping Review,Review,Review,Journal Of Medical Internet Research,2023,Sep 25,25,NA,NA,NA,NA,11,e44359,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001086149400001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001086149400001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001086149400001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001086149400001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,15,10.2196/44359,1438-8871,NA,37747766,,"Richardson, KM; Jospe, MR; Saleh, AA; Clarke, TN; Bedoya, AR; Behrens, N; Marano, K; Cigan, L; Liao, Y; Scott, ER; Guo, JS; Aguinaga, A; Schembre, SM"
WOS:001134375200001,Predicting spring phenology in deciduous broadleaf forests: NEON phenology forecasting community challenge,Article,Article,Agricultural And Forest Meteorology,2024,Feb 15,345,NA,NA,NA,NA,12,109810,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001134375200001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001134375200001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001134375200001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001134375200001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,15,10.1016/j.agrformet.2023.109810,0168-1923,1873-2240,NA,,"Wheeler, KI; Dietze, MC; Lebauer, D; Peters, JA; Richardson, AD; Ross, AA; Thomas, RQ; Zhu, K; Bhat, U; Munch, S; Buzbee, RF; Chen, M; Goldstein, B; Guo, JSC; Hao, DL; Jones, C; Kelly-Fair, M; Liu, HR; Malmborg, C; Neupane, N; Pal, D; Shirey, V; Song, YL; Steen, M; Vance, EA; Woelmer, WM; Wynne, JH; Zachmann, L"
WOS:001187048700001,An interactive visualization and data portal tool (PALTIDE) for relative sea level and palaeotidal simulations of the northwest European shelf seas since the Last Glacial Maximum,Article,Article,Journal Of Quaternary Science,2024,Jul,39,5,831-838,831,838,8,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001187048700001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001187048700001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001187048700001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001187048700001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,5,10.1002/jqs.3615,0267-8179,1099-1417,NA,,"Scourse, J; Ward, S; Wainwright, A; Bradley, S; Wilson, JK; Guo, JSC"
WOS:001216997900001,Dynamic regulation of water potential in <i>Juniperus osteosperma</i> mediates ecosystem carbon fluxes,Article,Article,New Phytologist,2024,Jul,243,1,98-110,98,110,13,NA,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001216997900001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001216997900001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001216997900001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001216997900001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,5,10.1111/nph.19805,0028-646X,1469-8137,38725410,,"Guo, JS; Barnes, ML; Smith, WK; Anderegg, WRL; Kannenberg, SA"
WOS:001316864700001,Adaptation and Response in Drylands (ARID): Community Insights for Scoping a NASA Terrestrial Ecology Field Campaign in Drylands,Article,Article,Earths Future,2024,Sep 20,12,9,NA,NA,NA,13,e2024EF004811,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001316864700001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001316864700001&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001316864700001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=test-123121&SrcAuth=WosAPI&KeyUT=WOS:001316864700001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,WOS,10,10.1029/2024EF004811,NA,2328-4277,NA,,"Feldman, AF; Reed, S; Amaral, C; Babst-Kostecka, A; Babst, F; Biederman, J; Devine, C; Fu, Z; Green, JK; Guo, J; Hanan, NP; Kokaly, R; Litvak, M; MacBean, N; Moore, D; Ojima, D; Poulter, B; Scott, RL; Smith, WK; Swap, R; Tucker, CJ; Wang, LX; Watts, J; Wessels, K; Zhang, FY; Zhang, W"
